entity_id,entity_type,timestamp,source_ip,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,hour_of_day,day_of_week,time_since_last_event_sec,ip_changed_flag,device_changed_flag,user_event_count_recent,ip_event_count_recent,entity_type_encoded,auth_method_encoded,resource_accessed_encoded,iso_score,predicted_class,risk_score
use_402913ec,user,2023-01-07 16:13:00,136.192.253.177,main/tags/app,biometric,146.85579660083198,auth -> read -> exit,Opera/9.63.(Windows NT 6.0; lt-LT) Presto/2.9.162 Version/11.00,normal,16,5,80100.0,1,0,28,0,2,0,690,0.1496457424122285,normal,99.999084
use_869bc00f,user,2023-01-07 14:00:00,99.66.88.171,/restricted_zone_74,password,9999.0,auth -> dump_database -> zip -> exfiltrate,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.23.5 (KHTML, like Gecko) Version/5.0.4 Safari/534.23.5",insider_drift,14,5,21600.0,1,1,1,0,2,2,59,0.10278841537915084,normal,99.99884
edg_e7b33085,edge_device,2023-05-02 13:03:00,168.169.192.232,app,biometric,103.10801400614696,auth -> read -> exit,FW_v1.0_MAC_7e:ec:19:56:dd:ca,normal,13,1,3000.0,1,0,1,0,0,0,82,0.04097925685157244,normal,99.999306
use_c6b6e4ad,user,2023-01-24 07:00:59,179.244.183.4,/login,password,0.0,auth_failed,Opera/8.32.(Windows NT 6.1; de-CH) Presto/2.9.160 Version/11.00,credential_stuffing,7,1,28831.0,1,1,15,19,2,2,0,0.12004574951282576,normal,99.998856
use_6e595ed3,user,2023-04-20 00:32:00,58.79.127.239,list/app,certificate,107.16497352846385,auth -> read -> exit,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/30.0.859.0 Safari/531.1",normal,0,3,73560.0,0,0,2,0,2,1,538,0.09202488915730611,normal,99.99744
use_bff15840,user,2023-07-25 00:58:00,184.153.183.251,list/posts/app,password,87.85749360115415,auth -> read -> exit,Opera/8.73.(Windows NT 5.2; bho-IN) Presto/2.9.182 Version/12.00,normal,0,1,1620.0,0,0,44,0,2,2,580,0.058882881898934425,normal,99.99803
use_793b4c32,user,2023-03-12 14:26:00,141.243.33.142,categories/tags/posts,token,125.7991319431798,auth -> read -> exit,Mozilla/5.0 (Android 7.0; Mobile; rv:67.0) Gecko/67.0 Firefox/67.0,normal,14,6,202800.0,0,0,2,0,2,3,348,0.14364517150656714,normal,99.999344
edg_9e2aa4ac,edge_device,2023-06-01 03:18:00,69.56.161.185,tag/tag,password,84.8128309277483,auth -> read -> exit,FW_v2.0_MAC_58:e2:d4:8b:6e:3a,normal,3,3,342960.0,0,0,0,0,0,2,968,0.09728929259146418,normal,99.998764
edg_0f44704f,user,2023-01-22 06:00:00,203.0.113.50,/login,password,0.0,auth_failed,Mozilla/5.0 (Windows 98; sk-SK; rv:1.9.2.20) Gecko/8720-12-20 14:49:17 Firefox/3.6.13,impossible_travel,6,6,61200.0,1,1,30,41,2,2,0,0.11898280806940115,normal,99.999344
edg_2d174fc9,edge_device,2023-04-30 07:30:00,184.164.131.212,posts/categories/tag,password,118.00165931983484,auth -> read -> exit,FW_v1.0_MAC_46:df:89:a5:7d:2c,normal,7,6,15540.0,0,0,2,0,0,2,726,0.04725223169119752,credential_stuffing,99.96724
use_29d4beef,user,2023-05-30 19:01:00,24.163.105.158,app/category/list,biometric,100.21719338351056,auth -> read -> exit,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/38.0.882.0 Safari/532.0",normal,19,1,102900.0,0,0,0,0,2,0,108,0.09270287943876399,normal,99.998795
use_6a5943ce,user,2023-03-09 16:21:00,17.216.250.204,tag/posts/blog,biometric,111.00367576510163,auth -> read -> exit,Opera/8.15.(Windows NT 11.0; aa-ET) Presto/2.9.166 Version/12.00,normal,16,3,181860.0,0,0,33,0,2,0,952,0.09834518331729386,normal,99.99636
use_7631de9d,user,2023-03-03 18:44:00,98.20.204.213,search/tag,password,119.19481295048544,auth -> read -> exit,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),normal,18,4,15000.0,0,0,0,0,2,2,862,0.12126875918676372,normal,99.99833
use_8c32bdb2,user,2023-06-09 22:00:00,214.120.17.126,categories/main/list,certificate,98.9262440302834,auth -> read -> exit,Opera/9.17.(Windows NT 6.1; gd-GB) Presto/2.9.162 Version/12.00,normal,22,4,157860.0,0,0,1,0,2,1,316,0.1136799237409356,normal,99.99831
use_479d0cda,user,2023-01-20 05:58:00,87.182.195.79,tags,token,148.2393174230245,auth -> read -> exit,Opera/9.17.(X11; Linux i686; lo-LA) Presto/2.9.181 Version/11.00,normal,5,4,107847.0,1,1,29,0,2,3,984,0.1312709291296295,normal,99.998405
use_f2dcb12b,user,2023-07-18 08:13:00,164.149.116.58,blog/posts/tag,biometric,62.61964795603031,auth -> read -> exit,Opera/9.20.(Windows NT 6.1; se-NO) Presto/2.9.168 Version/10.00,normal,8,1,5700.0,0,0,15,0,2,0,228,0.04669096525797645,normal,99.99895
use_89456f27,user,2023-01-13 10:32:00,33.196.53.12,category,token,122.10156489339543,auth -> read -> exit,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/7196-08-19 23:10:52 Firefox/3.6.14,normal,10,4,42060.0,0,0,1,0,2,3,360,0.13583106114068377,normal,99.99905
use_01539221,user,2023-05-18 13:20:00,194.161.187.78,tags/list,certificate,110.034068515742,auth -> read -> exit,Opera/8.21.(Windows NT 6.1; ga-IE) Presto/2.9.170 Version/11.00,normal,13,3,27420.0,0,0,14,0,2,1,1019,0.11188901578716848,normal,99.99933
use_479bc637,user,2023-01-24 23:00:06,151.128.87.160,/login,password,0.0,auth_failed,Opera/8.57.(Windows NT 11.0; pt-BR) Presto/2.9.167 Version/11.00,credential_stuffing,23,1,15006.0,1,1,14,19,2,2,0,0.1568219321796528,normal,99.99932
use_48998e5f,user,2023-02-05 21:17:00,40.91.167.249,list/posts/list,certificate,110.16788549196002,auth -> read -> exit,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/18.0.883.0 Safari/531.0",normal,21,6,8340.0,0,0,29,0,2,1,583,0.13614624323746022,normal,99.99887
use_3ccec76c,user,2023-07-16 05:17:00,195.35.196.37,posts/wp-content/wp-content,certificate,134.7794390857408,auth -> read -> exit,Opera/9.74.(X11; Linux i686; lv-LV) Presto/2.9.174 Version/11.00,normal,5,6,5040.0,0,0,5,0,2,1,795,0.11727007284004781,normal,99.99826
use_297ca4ff,user,2023-01-29 11:43:00,162.54.225.96,app/tag,token,117.16128622052132,auth -> read -> exit,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0),normal,11,6,33360.0,0,0,29,0,2,3,152,0.07612885778591283,normal,99.99775
use_f96c9a0a,user,2023-01-19 18:02:00,165.58.94.133,tags/posts,certificate,95.81797323750584,auth -> read -> exit,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/58.0.817.0 Safari/533.2",normal,18,3,29940.0,0,0,1,0,2,1,1034,0.036540649804159386,normal,99.9986
use_869bc00f,user,2023-06-21 23:30:00,73.244.214.19,posts/category,biometric,153.88010376489297,auth -> read -> exit,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.23.5 (KHTML, like Gecko) Version/5.0.4 Safari/534.23.5",normal,23,2,35640.0,1,0,1,0,2,0,728,0.13983959719167738,normal,99.99925
use_5df06e8c,user,2023-04-14 12:28:00,49.214.13.158,main,token,120.744616638744,auth -> read -> exit,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/21.0.809.0 Safari/536.0",normal,12,4,178620.0,0,0,0,0,2,3,616,0.0655137665997848,normal,99.99939
edg_ce88cb2d,edge_device,2023-02-24 01:52:00,35.181.11.198,posts,token,160.26540393734564,auth -> read -> exit,FW_v4.0_MAC_20:28:2b:f8:23:40,normal,1,4,1260.0,0,0,1,0,0,3,704,0.04586787420816152,credential_stuffing,99.97421
edg_562b0f79,edge_device,2023-05-09 09:31:00,88.80.186.159,tag,password,132.53025301955878,auth -> read -> exit,FW_v3.0_MAC_f8:b0:87:16:eb:3f,normal,9,1,65700.0,0,0,0,0,0,2,888,0.07866802286038099,brute_force,99.97702
use_b758588d,user,2023-01-14 01:00:54,114.125.107.46,/login,password,0.0,auth_failed,Mozilla/5.0 (Android 5.0; Mobile; rv:58.0) Gecko/58.0 Firefox/58.0,credential_stuffing,1,5,34854.0,1,1,1,19,2,2,0,0.1575181512908277,normal,99.99919
use_18fdd2b9,user,2023-04-11 06:14:00,30.122.114.138,app/app,biometric,136.18964323035212,auth -> read -> exit,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/38.0.803.0 Safari/531.1",normal,6,1,146040.0,0,0,0,0,2,0,83,0.13669462412090216,normal,99.99949
use_88ffbd40,user,2023-04-03 20:30:00,177.49.140.22,posts,password,106.1476487596162,auth -> read -> exit,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_5; rv:1.9.4.20) Gecko/4597-03-14 19:06:43 Firefox/3.8,normal,20,0,285600.0,0,0,14,0,2,2,704,0.06824697550449166,normal,99.999176
use_949077c2,user,2023-03-05 06:30:00,2.42.1.219,list/categories,biometric,46.77887955674748,auth -> read -> exit,Mozilla/5.0 (Windows NT 5.0; lzh-TW; rv:1.9.1.20) Gecko/3303-02-27 12:44:03 Firefox/3.6.2,normal,6,6,135960.0,0,0,1,0,2,0,549,0.08771306031434944,normal,99.991104
use_c32d4526,user,2023-04-03 14:59:00,53.191.175.238,app/list,biometric,118.80507014148058,auth -> read -> exit,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/534.5.2 (KHTML, like Gecko) Version/4.0.1 Safari/534.5.2",normal,14,0,11940.0,0,0,1,0,2,0,120,0.175845477116659,normal,99.999344
use_b758588d,user,2023-06-06 21:14:00,48.255.212.4,main/tags,password,108.15141755812289,auth -> read -> exit,Opera/8.19.(Windows NT 10.0; bo-CN) Presto/2.9.174 Version/12.00,normal,21,1,882420.0,0,0,1,0,2,2,689,0.1303176716096262,normal,99.999344
use_56ab087a,user,2023-03-15 17:34:00,162.205.42.64,wp-content/wp-content/category,token,116.46056716177868,auth -> read -> exit,Mozilla/5.0 (Windows 95; unm-US; rv:1.9.1.20) Gecko/8144-03-07 21:04:19 Firefox/11.0,normal,17,2,224400.0,0,0,2,0,2,3,1150,0.10674493648957883,normal,99.99906
use_29d4beef,user,2023-02-16 00:21:00,221.67.178.230,blog/wp-content/search,biometric,127.36212183617434,auth -> read -> exit,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/38.0.882.0 Safari/532.0",normal,0,3,109080.0,1,0,0,0,2,0,261,0.0961820941982513,normal,99.99894
edg_562b0f79,edge_device,2023-02-03 11:43:00,88.80.186.159,tag,password,141.21558555150284,auth -> read -> exit,FW_v3.0_MAC_f8:b0:87:16:eb:3f,normal,11,4,104280.0,0,0,0,0,0,2,888,0.008218686657344598,credential_stuffing,99.97895
